Date,High,Low,Open,Close,Volume,Adj Close
1993-01-29,43.96875,43.75,43.96875,43.9375,1003200.0,25.438085556030273
1993-02-01,44.25,43.96875,43.96875,44.25,480500.0,25.619020462036133
1993-02-02,44.375,44.125,44.21875,44.34375,201300.0,25.673288345336914
1993-02-03,44.84375,44.375,44.40625,44.8125,529400.0,25.944686889648438
1993-02-04,45.09375,44.46875,44.96875,45.0,531500.0,26.05325698852539
1993-02-05,45.0625,44.71875,44.96875,44.96875,492100.0,26.0351619720459
1993-02-08,45.125,44.90625,44.96875,44.96875,596100.0,26.0351619720459
1993-02-09,44.8125,44.5625,44.8125,44.65625,122100.0,25.854223251342773
1993-02-10,44.75,44.53125,44.65625,44.71875,379600.0,25.890409469604492
1993-02-11,45.125,44.78125,44.78125,44.9375,19500.0,26.017053604125977
1993-02-12,44.875,44.59375,44.875,44.59375,42500.0,25.818038940429688
1993-02-16,44.46875,43.40625,44.46875,43.46875,374800.0,25.166706085205078
1993-02-17,43.53125,43.28125,43.46875,43.4375,210900.0,25.148616790771484
1993-02-18,43.9375,42.8125,43.9375,43.40625,378100.0,25.130516052246094
1993-02-19,43.5625,43.34375,43.40625,43.5625,34900.0,25.220989227294922
1993-02-22,43.78125,43.5625,43.6875,43.71875,513600.0,25.311431884765625
1993-02-23,43.875,43.46875,43.84375,43.6875,373700.0,25.293352127075195
1993-02-24,44.25,43.71875,43.71875,44.25,26300.0,25.619020462036133
1993-02-25,44.375,44.125,44.21875,44.34375,44500.0,25.673288345336914
1993-02-26,44.4375,44.1875,44.4375,44.40625,66200.0,25.70948028564453
1993-03-01,44.5625,44.21875,44.5625,44.28125,66500.0,25.637109756469727
1993-03-02,44.9375,44.25,44.3125,44.9375,182400.0,26.017053604125977
1993-03-03,45.15625,44.9375,45.0,45.125,280100.0,26.1256103515625
1993-03-04,45.1875,44.875,45.1875,44.875,89500.0,25.980871200561523
1993-03-05,45.125,44.71875,44.9375,44.75,40000.0,25.90850067138672
1993-03-08,45.75,44.84375,44.84375,45.75,50800.0,26.487472534179688
1993-03-09,45.6875,45.5,45.65625,45.59375,169300.0,26.39700698852539
1993-03-10,45.6875,45.40625,45.59375,45.6875,194400.0,26.451276779174805
1993-03-11,45.84375,45.5,45.71875,45.5625,70900.0,26.378902435302734
1993-03-12,45.21875,44.8125,45.1875,45.09375,643600.0,26.10752296447754
1993-03-15,45.3125,45.0625,45.0625,45.3125,310800.0,26.234167098999023
1993-03-16,45.4375,45.3125,45.3125,45.3125,30800.0,26.234167098999023
1993-03-17,45.25,44.96875,45.25,45.03125,21800.0,26.07134437561035
1993-03-18,45.5,45.21875,45.21875,45.3125,59300.0,26.234167098999023
1993-03-19,45.28125,45.03125,45.28125,45.03125,66900.0,26.194477081298828
1993-03-22,44.875,44.5625,44.59375,44.78125,183400.0,26.049030303955078
1993-03-23,44.9375,44.8125,44.90625,44.875,55200.0,26.10357666015625
1993-03-24,45.0625,44.59375,44.8125,44.875,37200.0,26.10357666015625
1993-03-25,45.25,44.84375,44.90625,45.15625,110100.0,26.267179489135742
1993-03-26,45.15625,44.875,45.125,44.90625,101500.0,26.12175178527832
